                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.068566,               0.037026,               0.018333,                      0,                0.42691,                0.66667,                 0.5178,                0.21545,                0.34749,                0.54264,                 0.3417,               0.098565,               0.050528,               0.024215,              0.0081015,                      0,                0.07003,                0.00333,                0.00333
                      1,               0.048752,                0.02457,               0.014617,                      0,                0.54739,                0.49221,                0.48013,                0.19137,                0.63441,                0.49225,                0.44795,                0.14199,               0.044066,               0.019867,              0.0069786,                      0,                0.03983,              0.0064635,              0.0064635
                      2,               0.049151,               0.023964,               0.012728,                      0,                0.56655,                0.47287,                0.47237,                0.17308,                0.59607,                0.46124,                0.39482,                0.10847,               0.051023,               0.019704,              0.0068868,                      0,                0.00943,              0.0093969,              0.0093969
                      3,               0.047494,               0.024043,               0.012028,                      0,                0.55648,                0.53488,                0.50102,                0.21266,                0.39649,                0.42636,                0.29309,               0.076176,               0.044693,               0.020031,              0.0067138,                      0,                 0.0091,                 0.0091,                 0.0091
                      4,               0.043367,               0.024738,               0.011972,                      0,                0.64454,                0.48493,                0.56474,                0.28416,                0.60358,                0.49225,                0.42208,                0.13037,               0.042943,               0.019795,              0.0065337,                      0,                 0.0091,                 0.0091,                 0.0091
                      5,               0.040409,               0.023644,               0.011614,                      0,                0.72467,                0.52326,                0.60461,                0.32014,                0.59453,                0.52713,                0.45238,                0.14627,               0.041547,               0.019565,               0.006607,                      0,                 0.0088,                 0.0088,                 0.0088
                      6,               0.037981,               0.023441,               0.011229,                      0,                0.61864,                0.60361,                0.55693,                0.31854,                0.51933,                0.50671,                0.40998,                0.11391,               0.036094,               0.019299,              0.0066787,                      0,                 0.0085,                 0.0085,                 0.0085
                      7,               0.036161,               0.022906,                0.01137,                      0,                 0.6896,                0.55426,                0.61988,                0.34473,                0.58548,                0.47628,                0.45564,                0.13978,               0.036749,               0.022001,              0.0064201,                      0,                 0.0082,                 0.0082,                 0.0082
                      8,               0.034817,               0.023409,               0.010888,                      0,                0.76137,                0.67829,                0.67069,                0.41791,                0.65799,                 0.5814,                0.49509,                  0.166,                0.03417,               0.019075,              0.0063171,                      0,                 0.0079,                 0.0079,                 0.0079
                      9,               0.033784,               0.022878,               0.010962,                      0,                0.75552,                0.68274,                0.70557,                0.44354,                0.63151,                0.57127,                0.49566,                0.15673,                0.03074,               0.019479,              0.0060863,                      0,                 0.0076,                 0.0076,                 0.0076
